V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,Class
3.919,2.6909,0,0,0,0,0,31.4,2,0,0,0.0,3.1060000000000003,2.55,9.002,0,0.96,1.142,0,0,0,1.2009999999999998,0,0,0,0,1.932,0.011,0,0.0,4.489,0,0,0,0,2.949,1.591,0,7.252999999999999,0,0,2
4.525,3.8301,0,0,0,0,0,31.6,3,2,0,-0.039,3.418,2.468,9.786,5,0.98,1.142,0,0,0,1.179,0,0,0,0,2.119,-0.002,0,11.115,3.889,0,0,0,0,3.379,2.143,0,7.95,0,0,2
5.04,3.6112,0,0,1,0,2,41.2,0,4,3,-1.29,3.483,1.258,10.159,8,1.069,1.127,0,1,0,1.199,1,0,0,0,2.323,0.005,0,30.959,1.711,0,1,2,1,3.888,3.5,1,8.706,0,0,2
4.527,3.7942,0,0,0,0,0,32.5,4,4,0,-0.117,4.14,3.427,10.56,10,0.981,1.14,0,0,0,1.1840000000000002,0,0,0,0,2.13,0.0,0,23.699,9.594,0,0,0,0,3.393,2.086,0,8.693,0,0,2
4.607,3.0422,0,0,0,0,2,47.1,1,1,0,0.0,3.127,1.187,9.631,2,0.992,1.11,0,0,0,1.2990000000000002,1,0,0,0,2.194,-0.025,0,10.118,1.544,0,0,0,0,3.651,2.481,0,8.116,0,0,2
5.6370000000000005,2.2966,0,0,0,1,0,38.5,3,0,0,1.646,3.144,0.853,10.63,0,0.964,1.128,0,0,0,1.267,3,0,0,0,2.5540000000000003,-0.006,0,0.0,0.986,2,0,0,0,3.676,1.658,0,8.065,0,0,2
4.17,2.607,0,0,0,0,0,25.0,3,0,2,0.0,2.373,0.971,8.597000000000001,0,0.97,1.161,0,0,0,1.133,0,0,0,0,1.848,0.322,0,0.0,1.5419999999999998,0,0,1,2,2.983,2.167,1,6.635,0,0,2
3.95,2.7989,0,0,0,0,0,31.0,2,1,0,0.0,3.364,2.807,9.296,1,0.969,1.143,0,0,0,1.18,0,0,0,0,1.956,-0.002,0,0.0,5.698,0,0,0,1,2.9760000000000004,1.857,0,7.552,0,0,2
4.836,5.6969,0,0,0,0,0,32.5,6,6,0,-0.851,4.293,2.929,10.906,17,0.989,1.14,0,0,0,1.178,0,0,0,0,2.262,0.0,0,37.824,4.685,0,0,0,0,3.526,2.268,0,8.951,0,0,2
4.412,3.7308,0,0,0,0,0,30.6,2,8,0,-0.5539999999999999,4.2010000000000005,3.774,10.379,8,1.002,1.144,0,0,0,1.146,0,0,0,0,2.085,0.0,0,23.21,10.723,0,0,0,0,3.397,2.311,0,8.752,0,0,2
4.17,3.2723,0,0,0,0,0,22.2,1,3,0,-1.19,2.555,0.971,8.597000000000001,0,1.083,1.162,0,0,0,1.018,0,0,0,0,1.848,0.46,0,9.118,1.5419999999999998,0,0,0,2,3.333,4.433,0,7.298999999999999,0,0,2
